Compound.ID,Batch.Ref,Compound.Alias,Drug.Name,Main.Target,Selectivity,Therapeutic.Group,Library.ID,Supplier
WEHI-1217031,01,SN00734449,Debrisoquin_sulfate,Antihypertensive;_metabolized_to_tetrahydroisoquinoline_(TIQ)_which_may_play_a_role_in_the_induction_of_Parkinson`s_Disease,Acquired,Neurotransmission,KnownDrugs,LOPAC
WEHI-1217056,01,SN00734450,Cibenzoline_succinate,Blocks_ATP-sensitive_K_channels_in_heart_and_pancreatic_cells;_class_IA_antiarrhythmic_drug,ATP-sensitive,K+_Channels,KnownDrugs,LOPAC
WEHI-1217052,01,SN00734451,Doxylamine_succinate,H1_Histamine_receptor_antagonist,H1,Histamine,KnownDrugs,LOPAC
WEHI-1217057,01,SN00734452,Loxapine_succinate,Dibenzoxazepine_antipsychotic_agent,Acquired,Dopamine,KnownDrugs,LOPAC
WEHI-1215425,01,SN00734453,Sodium_Oxamate,Competitive_lactate_dehydrogenase_inhibitor,Lactate_Dehydrogenase,Biochemistry,KnownDrugs,LOPAC
WEHI-1214730,01,SN00734454,3-Amino-1-propanesulfonic_acid_sodium,GABA-A_receptor_agonist,GABA-A,GABA,KnownDrugs,LOPAC
WEHI-1215407,01,SN00734455,Valproic_acid_sodium,Anticonvulsant,Acquired,Anticonvulsant,KnownDrugs,LOPAC
WEHI-1215459,01,SN00734456,Phosphomycin_disodium,Antibiotic;_interferes_with_cell_wall_synthesis,Cell_wall_synthesis,Antibiotic,KnownDrugs,LOPAC
WEHI-1215195,01,SN00734457,5-hydroxydecanoic_acid_sodium,Blocks_post_ischemic_actions_of_the_K+_channel_activator_cromakalim,,K+_Channel,KnownDrugs,LOPAC
WEHI-1215702,01,SN00734458,Zonisamide_sodium,Antiepileptic;_effective_in_various_animal_epilepsy_models_and_in_humans_with_both_partial_and_generalized_epileptic_seizures,Acquired,Anticonvulsant,KnownDrugs,LOPAC
WEHI-1215360,01,SN00734459,NCS-382,gamma-Hydroxybutyrate_receptor_antagonist,gamma-Hydroxybutyrate,GABA,KnownDrugs,LOPAC
WEHI-1215330,01,SN00734460,(-)-Naproxen_sodium,COX-1_and_COX-2_inhibitor,COX,Prostaglandin,KnownDrugs,LOPAC
WEHI-1215368,01,SN00734461,Nalidixic_acid_sodium,Inhibits_bacterial_DNA_polymerase_(DNA_gyrase),DNA_Gyrase,Antibiotic,KnownDrugs,LOPAC
WEHI-1214943,01,SN00734462,Phenytoin_sodium,Anticonvulsant;_anti-epileptic,,Anticonvulsant,KnownDrugs,LOPAC
WEHI-1215102,01,SN00734463,Furegrelate_sodium,Thromboxane_synthetase_inhibitor,Thromboxane_synthase,Phosphorylation,KnownDrugs,LOPAC
WEHI-1215003,01,SN00734464,Clodronic_acid,Matrix_metalloproteinase_1_(MMP1)_and_collagenase_inhibitor,MMP1_/_collagenase,Cytoskeleton_and_ECM,KnownDrugs,LOPAC
WEHI-1215272,01,SN00734465,Meclofenamic_acid_sodium,Cyclooxygenase_and_5-Lipoxygenase_inhibitor,COX_/_5-Lipoxygenase,Prostaglandin,KnownDrugs,LOPAC
WEHI-1215025,01,SN00734466,Dantrolene_sodium,Inhibits_intracellular_Ca2+_release_from_the_sarcoplasmic_reticulum;_muscle_relaxant,Release,Intracellular_Calcium,KnownDrugs,LOPAC
WEHI-1215576,01,SN00734467,Ibandronate_sodium,Farnesyl_diphosphate_synthase_inhibitor;_inhibits_bone_resorption,Farnesyl_diphosphate_synthase,Lipid_Signaling,KnownDrugs,LOPAC
WEHI-1215424,01,SN00734468,NBQX_disodium,Neuroprotective_AMPA/kainate_glutamate_receptor_antagonist;_water_soluble_salt_of_NBQX,AMPA/kainate,Glutamate,KnownDrugs,LOPAC
WEHI-1214908,01,SN00734469,Cephalothin_sodium,Semi-synthetic_cephalosporin_antibiotic;_interferes_with_cell_wall_synthesis,Cell_wall_synthesis,Antibiotic,KnownDrugs,LOPAC
WEHI-1215467,01,SN00734470,Pregnenolone_sulfate_sodium,Neurosteroid_that_antagonizes_the_GABA-A_receptor_chloride_channels,GABA-A,GABA,KnownDrugs,LOPAC
WEHI-1214831,01,SN00734471,8-Bromo-cAMP_sodium,Membrane-permeable_analog_of_cAMP,,Cyclic_Nucleotides,KnownDrugs,LOPAC
WEHI-1214780,01,SN00734472,8-Bromo-cGMP_sodium,Membrane-permeable_analog_of_cGMP,,Cyclic_Nucleotides,KnownDrugs,LOPAC
WEHI-1215662,01,SN00734473,Uridine_5`-diphosphate_sodium,P2Y_receptor_agonist,P2Y,P2_Receptor,KnownDrugs,LOPAC
WEHI-1215350,01,SN00734474,Sivelestat_sodium_salt_hydrate,"Sivelestat_is_a_competitive_human_neutrophil_elastase_(HNE)_inhibitor_(IC50_=_44_nM,_Ki_=_02_µM)_It_also_inhibits_leukocyte_elastase_obtained_from_rabbit,_rat,_hamster_and_mouse_(IC50_=_19_to_49_nM)",HNE,Biochemistry,KnownDrugs,LOPAC
WEHI-1215320,01,SN00734475,MRS_2159,P2X1_receptor_antagonist,P2X1,P2_Receptor,KnownDrugs,LOPAC
WEHI-1214917,01,SN00734476,"CL_316,243",Beta3_adrenoceptor_agonist;_anti-obesity_agent,beta3,Adrenoceptor,KnownDrugs,LOPAC
WEHI-1214901,01,SN00734477,Cefazolin_sodium,Semi-synthetic_antibiotic;_interferes_with_cell_wall_synthesis,Cell_wall_synthesis,Antibiotic,KnownDrugs,LOPAC
WEHI-1214904,01,SN00734478,Cefotaxime_sodium,Broad_spectrum_third_generation_cephalosporin_antibiotic;_interferes_with_cell_wall_synthesis,Cell_wall_synthesis,Antibiotic,KnownDrugs,LOPAC
WEHI-1215275,01,SN00734479,Lorglumide_sodium,Potent_and_selective_non-peptide_cholecystokinin_(CCK)_receptor_antagonist;_orally_active,CCK-A,Cholecystokinin,KnownDrugs,LOPAC
WEHI-1214893,01,SN00734480,Cefmetazole_sodium,Semi-synthetic_antibiotic_derived_from_cephamycin_C;_interferes_with_cell_wall_synthesis,Cell_wall_synthesis,Antibiotic,KnownDrugs,LOPAC
WEHI-1214889,01,SN00734481,8-(4-Chlorophenylthio)-cAMP_sodium,Membrane-permeable_analog_of_cAMP,,Cyclic_Nucleotides,KnownDrugs,LOPAC
WEHI-1215316,01,SN00734482,MK-886,Potent_and_specific_inhibitor_of_leukotriene_biosynthesis,Acquired,Leukotriene,KnownDrugs,LOPAC
WEHI-1215659,01,SN00734483,PD-156707,PD-156707_is_a_selective_endothelin_receptor_(ETA)_antagonist,Endothelin_receptor,Neurotransmission_and_endothelins,KnownDrugs,LOPAC
WEHI-1215119,01,SN00734484,Fusidic_acid_sodium,Inhibits_protein_synthesis_in_prokaryotes,,Cell_Cycle,KnownDrugs,LOPAC
WEHI-1214752,01,SN00734485,2-(Methylthio)adenosine_5`-diphosphate_trisodium_salt_hydrate,P2_purinoceptor_agonist,P2,Purinoceptor,KnownDrugs,LOPAC
WEHI-1217053,01,SN00734486,Cytidine_5`-diphosphocholine_sodium_salt_hydrate,Neuroprotective_in_situations_of_hypoxia_and_ischemic;_cerebral_vasodilator;_inhibits_PLA2_activation,PLA2,Lipid_Signaling,KnownDrugs,LOPAC
WEHI-1214887,01,SN00734487,Cefsulodin_sodium_salt_hydrate,Third_generation_cephalosporin_antibiotic;_interferes_with_cell_wall_synthesis,Cell_wall_synthesis,Antibiotic,KnownDrugs,LOPAC
WEHI-1215568,01,SN00734488,Phosphoramidon_disodium,Inhibitor_of_mammalian_enkephalinase_and_some_metallo-endopeptidases;_potent_inhibitor_of_thermolysin_and_other_bacterial_metallo-endopeptidases,Endopeptidase,Biochemistry,KnownDrugs,LOPAC
WEHI-1214892,01,SN00734489,Ceftriaxone_sodium,Third_generation_cephalosporin_antibiotic;_interferes_with_cell_wall_synthesis,Cell_wall_synthesis,Antibiotic,KnownDrugs,LOPAC
WEHI-1215476,01,SN00734490,PPADS,Selective_P2_receptor_antagonist_which_blocks_responses_at_both_pre-_and_post-junctional_sites,P2,P2_Receptor,KnownDrugs,LOPAC
WEHI-1214963,01,SN00734491,2-Chloroadenosine_triphosphate_tetrasodium,P2Y_receptor_agonist,P2Y,P2_Receptor,KnownDrugs,LOPAC
WEHI-1214805,01,SN00734492,2-Methylthioadenosine_triphosphate_tetrasodium,P2Y_receptor_agonist,P2Y,P2_Receptor,KnownDrugs,LOPAC
WEHI-1215444,01,SN00734493,PPNDS_tetrasodium,P2X1_receptor_antagonist,P2X1,P2_Receptor,KnownDrugs,LOPAC
WEHI-1215650,01,SN00734494,Thio-NADP_sodium,Blocks_nicotinate_adenine_dinucleotide_phosphate_(NAADP)-induced_Ca2+_release,NAADP-induced,Intracellular_Calcium,KnownDrugs,LOPAC
WEHI-1214799,01,SN00734495,ARL_67156_trisodium_salt,ecto-ATPase_inhibitor;_prevents_metabolism_of_P2_receptor_agonists,ecto-ATPase,P2_Receptor,KnownDrugs,LOPAC
WEHI-1215400,01,SN00734496,NADPH_tetrasodium,"Cofactor_for_many_enzymes,_including_nitric_oxide_synthase",Acquired,Nitric_Oxide,KnownDrugs,LOPAC
WEHI-1215538,01,SN00734497,Reactive_Blue_2,P2Y_receptor_antagonist;_most_potent_antagonist_for_ATP-activated_channels,P2Y,P2_Receptor,KnownDrugs,LOPAC
WEHI-1215345,01,SN00734498,NF_023,"Potent,_selective_P2X1_receptor_antagonist",P2X1,P2_Receptor,KnownDrugs,LOPAC
WEHI-1217070,01,SN00734499,Suramin_sodium_salt,"P2X,_P2Y","P2X,_P2Y",P2_Receptor,KnownDrugs,LOPAC
WEHI-1217032,01,SN00734500,MHPG_piperazine,Norepinephrine_metabolite,Acquired,Adrenoceptor,KnownDrugs,LOPAC
WEHI-1215208,01,SN00734501,Iproniazid_phosphate,Monoamine_oxidase_inhibitor,MAO,Neurotransmission,KnownDrugs,LOPAC
WEHI-1214918,01,SN00734502,Chloroquine_diphosphate,Antimalarial;_anti-amoebic;_anti-inflammatory;_binds_strongly_to_double-stranded_DNA,DNA,DNA,KnownDrugs,LOPAC
WEHI-1217071,01,SN00734503,Piperaquine_tetraphosphate_tetrahydrate,Piperaquine_tetraphosphate_tetrahydrate_is_an_antimalarial_agent_highly_active_against_chloroquine-resistant_Plasmodium_falciparum_and_Plasmodium_vivax,Acquired,Immunomodulators_and_Antibiotics,KnownDrugs,LOPAC
WEHI-1215007,02,SN00734504,Disopyramide_phosphate,K+_channel_modulator;_anti-arrhythmic;_cardiac_depressant,,K+_Channel,KnownDrugs,LOPAC
WEHI-1215326,01,SN00734505,Metrazoline_oxalate,Potent_and_selective_imidazoline_binding_site_ligand,Acquired,Imidazoline,KnownDrugs,LOPAC
WEHI-1215285,01,SN00734506,N-omega-Methyl-5-hydroxytryptamine_oxalate_salt,Serotonin_receptor_ligand,,Serotonin,KnownDrugs,LOPAC
WEHI-1214836,01,SN00734507,Benazoline_oxalate,I2_Imidazoline_receptor_agonist,I2,Imidazoline,KnownDrugs,LOPAC
WEHI-1214702,01,SN00734508,S(-)-p-Bromotetramisole_oxalate,Potent_alkaline_phosphatase_inhibitor,Alkaline_phosphatase,Phosphorylation,KnownDrugs,LOPAC
WEHI-1215599,01,SN00734509,SR_59230A_oxalate,beta3-Adrenoceptor_antagonist,beta3,Adrenoceptor,KnownDrugs,LOPAC
WEHI-1215170,01,SN00734510,N-Methylhistaprodifen_dioxalate_salt,H1_histamine_receptor_agonist,H1,Histamine,KnownDrugs,LOPAC
WEHI-1215294,01,SN00734511,"L-703,606_oxalate_salt_hydrate",Potent_and_selective_non-peptide_NK-1_tachykinin_receptor_antagonist,NK1,Tachykinin,KnownDrugs,LOPAC
WEHI-1217069,01,SN00734512,(-)-Scopolamine_methyl_nitrate,Competitive_muscarinic_acetylcholine_receptor_antagonist,Muscarinic,Cholinergic,KnownDrugs,LOPAC
WEHI-1215453,02,SN00734513,Pilocarpine_nitrate,Nonselective_muscarinic_acetylcholine_receptor_agonist,Muscarinic,Cholinergic,KnownDrugs,LOPAC
WEHI-1214709,02,SN00734514,Atropine_methyl_nitrate,Muscarinic_acetylcholine_receptor_antagonist,Muscarinic,Cholinergic,KnownDrugs,LOPAC
WEHI-1214900,01,SN00734515,9-cyclopentyladenine,"Cell-permeable,_non-competitive_adenylyl_cyclase_inhibitor;_targets_the_P-site_domain",Adenylate_cyclase,Cyclic_Nucleotides,KnownDrugs,LOPAC
WEHI-1215232,01,SN00734516,Isotharine_mesylate,beta-Adrenoceptor_agonist;_bronchodilator,beta,Adrenoceptor,KnownDrugs,LOPAC
WEHI-1215479,01,SN00734517,Phentolamine_mesylate,ATP-sensitive_K+_channel_blocker;_alpha_adrenoceptor_antagonist,alpha,Adrenoceptor,KnownDrugs,LOPAC
WEHI-1215491,01,SN00734518,Phenamil_methanesulfonate,Irreversible_inhibitor_of_amiloride-sensitive_Na+_channels;_derivative_of_amiloride,Amiloride_sensitive,Na+_Channel,KnownDrugs,LOPAC
WEHI-1214838,01,SN00734519,Benztropine_mesylate,Muscarinic_acetylcholine_receptor_antagonist,Muscarinic,Cholinergic,KnownDrugs,LOPAC
WEHI-1215481,01,SN00734520,Pergolide_methanesulfonate,Dopamine_receptor_agonist;_antiparkinsonian,D2/D1,Dopamine,KnownDrugs,LOPAC
WEHI-1215339,01,SN00734521,Methiothepin_mesylate,"5-HT1E,_5-HT1F,_5-HT6","5-HT1E,_5-HT1F,_5-HT6",Serotonin,KnownDrugs,LOPAC
WEHI-1215068,01,SN00734522,(±)_trans-U-50488_methanesulfonate,Selective_kappa_opioid_receptor_agonist,kappa,Opioid,KnownDrugs,LOPAC
WEHI-1215439,01,SN00734523,Naltriben_methanesulfonate,Highly_selective_delta2_opioid_receptor_antagonist,delta2,Opioid,KnownDrugs,LOPAC
WEHI-1214763,01,SN00734524,Trovafloxacin_mesylate,"Trovafloxacin_mesylate_is_a_broad_spectrum_antibiotic_Trovafloxacin_mesylate_blocks_the_activity_of_DNA_gyrase_and_topoisomerase_IV,_enzymes_essential_in_the_repliction,_transcription,_and_repair_of_bacterial_DNA",DNA_gyrase_and_topoisomerase_IV,Immunomodulators_and_Antibiotics,KnownDrugs,LOPAC
WEHI-1215343,01,SN00734525,Eprosartan_mesylate,Angiotensin_II_type_1_(AT1)_receptor_antagonist;_anti-hypertensive,AT_1,Angiotensins,KnownDrugs,LOPAC
WEHI-1215679,01,SN00734526,U-62066,Highly_selective_kappa_opioid_receptor_agonist;_antitussive,kappa,Opioid,KnownDrugs,LOPAC
WEHI-1215069,01,SN00734527,Doxazosin_mesylate,alpha1_adrenoceptor_blocker,alpha1,Adrenoceptor,KnownDrugs,LOPAC
WEHI-1214972,01,SN00734528,CGP_20712A_methanesulfonate,Selective_beta1-adrenoceptor_antagonist,beta1,Adrenoceptor,KnownDrugs,LOPAC
WEHI-1215202,01,SN00734529,Nelfinavir_mesylate_hydrate,Nelfinavir_is_a_HIV_protease_inhibitor;_antiretroviral;_and_anti-tumor_agent,HIV_protease,Immune_Signaling,KnownDrugs,LOPAC
WEHI-1214967,01,SN00734530,Dihydroergotamine_methanesulfonate,Ergot_alkaloid;_vasoconstrictor;_competitive_serotonin_receptor_antagonist;_partial_agonist_at_alpha_adrenoceptors_and_D2_dopamine_receptors,,Serotonin,KnownDrugs,LOPAC
WEHI-1214819,01,SN00734531,(+)-Bromocriptine_methanesulfonate,D2_dopamine_receptor_agonist;_inhibits_prolaction_secretion,D2,Dopamine,KnownDrugs,LOPAC
WEHI-1212979,02,SN00734532,Sunitinib_malate,"Sunitinib_malate_is_a_receptor_tyrosine_kinase_inhibitor,_which_targets_VEGF-R1,_VEGF-R2,_VEGF-R3,_PDGF-Ra,_PDGF-Rß,_KIT,_FLT3,_CSF-1R,_and_RET_Sunitinib_malate_is_an_anticancer_drug",,Tyrosine_Kinase,KnownDrugs,LOPAC
WEHI-1214697,01,SN00734533,Org_24598_lithium_salt,"Selective,_potent_inhibitor_of_glial_GlyT_(GlyT1,_glycine_transporter_type_1)",GlyT1,Neurotransmission,KnownDrugs,LOPAC
WEHI-1215301,01,SN00734534,"alpha,beta-Methylene_adenosine_5`-triphosphate_dilithium",P2_receptor_agonist_that_is_more_potent_than_ATP_at_the_P2X_subtype,P2X_>_P2Y,P2_Receptor,KnownDrugs,LOPAC
WEHI-1215695,01,SN00734535,D-609_potassium,Xanthogenate_derivative_with_in_vitro_anti-tumor_and_anti-HIV-1_activity;_inhibits_phospholipase_D_and_phosphatidylcholine_phospholipase_C_(PIPLC),PIPLC,Lipid,KnownDrugs,LOPAC
WEHI-1215193,01,SN00734536,MHPG_sulfate_potassium,Norepinephrine_metabolite,,Adrenoceptor,KnownDrugs,LOPAC
WEHI-1217034,01,SN00734537,Pentamidine_isethionate,NMDA_glutamate_receptor_antagonist;_neuroprotective_agent;_antimicrobial_agent_prescribed_for_the_treatment_of_AIDS-associated_Pneumocystis_carinii_pneumonia,NMDA,Glutamate,KnownDrugs,LOPAC
WEHI-1215005,01,SN00734538,"1,1-Dimethyl-4-phenyl-piperazinium_iodide",Nicotinic_acetylcholine_receptor_agonist,,Cholinergic,KnownDrugs,LOPAC
WEHI-1215455,01,SN00734539,Oxotremorine_methiodide,Nonselective_muscarinic_acetylcholine_receptor_agonist,Muscarinic,Cholinergic,KnownDrugs,LOPAC
WEHI-1215722,01,SN00734540,3-Tropanylindole-3-carboxylate_methiodide,"Potent,_water_soluble_5-HT3_serotonin_receptor_antagonist",5-HT3,Serotonin,KnownDrugs,LOPAC
WEHI-1215011,01,SN00734541,4-DAMP_methiodide,M3_muscarinic_acetylcholine_receptor_antagonist,M3,Cholinergic,KnownDrugs,LOPAC
WEHI-1215307,01,SN00734542,MG_624,Nicotinic_acetylcholine_receptor_antagonist;_selectively_inhibits_alpha-bungarotoxin_sensitive_receptors_that_contain_the_alpha7_subunit,Nicotinic,Cholinergic,KnownDrugs,LOPAC
WEHI-1215070,01,SN00734543,AC-93253_iodide,"Potent,_cell_permeable,_subtype_selective_retinoic_acid_receptor_(RARalpha)_agonist",RAR(a),Hormone,KnownDrugs,LOPAC
WEHI-1215132,01,SN00734544,Gallamine_triethiodide,M2_muscarinic_acetylcholine_receptor_antagonist;_muscle_relaxant,M2,Cholinergic,KnownDrugs,LOPAC
WEHI-1215314,01,SN00734545,R(-)-Me5,Potent_sodium_channel_antagonist,Acquired,Na+_Channel,KnownDrugs,LOPAC
WEHI-1215203,01,SN00734546,Hydroxylamine_hydrochloride,Monoamine_oxidase_inhibitor,MAO,Neurotransmission,KnownDrugs,LOPAC
WEHI-1214691,01,SN00734547,O-(Carboxymethyl)hydroxylamine_hemihydrochloride,Non-selective_aminotransferase_inhibitor,Aminotransferase,Biochemistry,KnownDrugs,LOPAC
WEHI-1215571,01,SN00734548,Semicarbazide_hydrochloride,Monoamine_oxidase_(MAO)_inhibitor,MAO,Neurotransmission,KnownDrugs,LOPAC
WEHI-1215291,01,SN00734549,Cysteamine_hydrochloride,"Induces_duodenal_ulcers_in_rats,_potent_depletion_of_prolactin_concentrations_in_pituitary_tissue_in_vivo_and_in_vitro_and_depletion_of_somatostatin_concentrations",,Somatostatin,KnownDrugs,LOPAC
WEHI-1215269,01,SN00734550,4-Methylpyrazole_hydrochloride,Alcohol_dehydrogenase_inhibitor,Alcohol_dehydrogenase,Biochemistry,KnownDrugs,LOPAC
WEHI-1215175,01,SN00734551,4-Imidazolemethanol_hydrochloride,Histonol_dehydrogenase_Inhibitor,Histinol_Dehydrogenase,Histamine,KnownDrugs,LOPAC
WEHI-1214710,01,SN00734552,5-Aminovaleric_acid_hydrochloride,Weak_GABA-B_receptor_antagonist,GABA-B,GABA,KnownDrugs,LOPAC
WEHI-1214847,01,SN00734553,Benzamidine_hydrochloride,Peptidase_inhibitor,Peptidase,Biochemistry,KnownDrugs,LOPAC
WEHI-1215471,01,SN00734554,Putrescine_dihydrochloride,Binds_to_the_polyamine_modulatory_site_of_the_NMDA_glutamate_receptor_and_potentiates_NMDA-induced_currents;_precursor_of_spermidine,NMDA-Polyamine,Glutamate,KnownDrugs,LOPAC
WEHI-1215179,01,SN00734555,Imidazole-4-acetic_acid_hydrochloride,Competitive_antagonist_at_GABA-C_receptors,GABA-C,GABA,KnownDrugs,LOPAC
WEHI-1215142,01,SN00734556,Isoguvacine_hydrochloride,"GABA-A,_GABA-C","GABA-A,_GABA-C",GABA,KnownDrugs,LOPAC
WEHI-1215150,01,SN00734557,Guvacine_hydrochloride,GABA_uptake_inhibitor,Uptake,GABA,KnownDrugs,LOPAC
WEHI-1214744,01,SN00734558,(±)-AMT_hydrochloride,"Potent,_selective_and_reversible_inducible_nitric_oxide_synthase_inhibitor",iNOS,Nitric_Oxide,KnownDrugs,LOPAC
WEHI-1214974,01,SN00734559,"1,4-Dideoxy-1,4-imino-D-arabinitol",Allosteric_glycogen_phosphorylase_inhibitor,Glycogen_phosphorylase,Phosphorylation,KnownDrugs,LOPAC
WEHI-1215502,01,SN00734560,Tranylcypromine_hydrochloride,MAO_inhibitor;_antidepressant,MAO,Neurotransmission,KnownDrugs,LOPAC
WEHI-1214690,01,SN00734561,Gabaculine_hydrochloride,GABA_transaminase_inhibitor;_conformationally_constrained_GABA_analog,GABA_transaminase,GABA,KnownDrugs,LOPAC
WEHI-1215686,01,SN00734562,THIP_hydrochloride,"GABA-A_receptor_agonist,_with_some_GABA-C_receptor_agonist_activity",GABA-A,GABA,KnownDrugs,LOPAC
WEHI-1214771,01,SN00734563,1-Amino-1-cyclohexanecarboxylic_acid_hydrochloride,Synthetic_amino_acid_that_crosses_the_blood-brain_barrier_by_the_Large_Neutral_Amino_Acid_carrier_system,,Neurotransmission,KnownDrugs,LOPAC
WEHI-1215115,01,SN00734564,L-Glutamic_acid_hydrochloride,Endogenous_excitatory_amino_acid_neurotransmitter,,Glutamate,KnownDrugs,LOPAC
WEHI-1215168,01,SN00734565,Histamine_dihydrochloride,Endogenous_neurotransmitter,,Histamine,KnownDrugs,LOPAC
WEHI-1214689,01,SN00734566,Amantadine_hydrochloride,Dopamine_releaser_used_in_the_treatment_of_Parkinsonism_and_drug-related_extrapyramidal_reactions;_antiviral_(Influenza_A),,Dopamine,KnownDrugs,LOPAC
WEHI-1215160,01,SN00734567,Dopamine_hydrochloride,Endogenous_neurotransmitter,,Dopamine,KnownDrugs,LOPAC
WEHI-1215440,01,SN00734568,(±)-Octopamine_hydrochloride,Neurotransmitter,alpha,Adrenoceptor,KnownDrugs,LOPAC
WEHI-1215146,01,SN00734569,L-Histidine_hydrochloride,Histamine_precursor,,Histamine,KnownDrugs,LOPAC
WEHI-1215510,01,SN00734570,Pargyline_hydrochloride,"MAO_inhibitor,_relatively_selective_for_MAO-B",MAO-B,Neurotransmission,KnownDrugs,LOPAC
WEHI-1215166,01,SN00734571,Hydralazine_hydrochloride,Non-selective_MAO-A/B_inhibitor;_antihypertensive,MAO-A/B,Neurotransmission,KnownDrugs,LOPAC
WEHI-1215186,01,SN00734572,"Histamine,_R(-)-alpha-methyl-,_dihydrochloride","Potent,_selective_H3_histamine_receptor_agonist_which_crosses_the_blood-brain_barrier;_inhibits_histamine_synthesis_and_release",H3,Histamine,KnownDrugs,LOPAC
WEHI-1215299,01,SN00734573,1-Methylhistamine_dihydrochloride,Histamine_metabolite_that_crosses_the_blood-brain_barrier,,Histamine,KnownDrugs,LOPAC
WEHI-1214781,01,SN00734574,Chlormethiazole_hydrochloride,GABA(A)_agonist;_glycine_receptor_modulator,GABA(A),GABA,KnownDrugs,LOPAC
WEHI-1215042,01,SN00734575,1-Deoxynojirimycin_hydrochloride,alpha-glucosidase_I-II_inhibitor,alpha-glucosidase,Biochemistry,KnownDrugs,LOPAC
WEHI-1214801,01,SN00734576,ABT-418_hydrochloride,Neuronal_nicotinic_acetylcholine_receptor_agonist_with_cognition_enhancing_and_anxiolytic_activities,nicotinic,Cholinergic,KnownDrugs,LOPAC
WEHI-1214996,01,SN00734577,N-Methyldopamine_hydrochloride,Dopamine_receptor_agonist,,Dopamine,KnownDrugs,LOPAC
WEHI-1215430,01,SN00734578,Phenylephrine_hydrochloride,alpha1_Adrenoceptor_agonist;_mydriatic;_decongestant,alpha1,Adrenoceptor,KnownDrugs,LOPAC
WEHI-1215371,01,SN00734579,Mecamylamine_hydrochloride,Nicotinic_acetylcholine_receptor_antagonist,Nicotinic,Cholinergic,KnownDrugs,LOPAC
WEHI-1214881,01,SN00734580,3-Morpholinosydnonimine_hydrochloride,"Liberates_nitric_oxide_(NO)_spontaneously_when_in_solution,_activating_guanylyl_cyclase_and_causing_an_increase_in_cyclic-GMP_This_product_is_a_vasodilator_and_inhibits_platelet_aggregation",,Nitric_Oxide,KnownDrugs,LOPAC
